age	marital	address	income	inccat	car	carcat	ed	employ	retire	empcat	gender	reside	wireless	multline	voice	pager	internet	callid	callwait	owntv	ownvcr	owncd	ownpda	ownpc	ownfax	news	response
55	1	12	72	3	37	3	1	23	0	3	f	5	0	1	1	1	0	1	0	1	1	1	0	0	0	0	1
56	0	29	153	4	76	3	1	35	0	3	m	1	1	0	1	1	0	1	1	1	1	1	0	0	0	0	0
28	1	9	28	2	14	1	3	4	0	1	f	9	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1
24	1	4	26	2	13	1	4	0	0	1	m	3	0	0	0	0	0	0	1	1	1	1	0	1	0	1	1
25	1	2	23	1	11	1	2	5	0	2	m	5	0	1	0	0	1	1	0	1	1	0	0	1	0	1	1
45	0	9	76	4	37	3	3	13	0	2	m	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	1
44	1	17	144	4	72	3	2	23	0	3	m	2	1	0	0	0	0	1	1	1	1	1	0	1	1	1	1
46	1	20	75	4	37	3	1	29	0	3	m	4	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0
41	0	10	26	2	13	1	1	8	0	2	m	2	0	0	0	0	9	0	1	1	1	1	0	0	0	0	1
29	0	4	19	1	10	1	2	10	0	2	f	3	0	0	1	0	0	1	0	1	1	1	0	0	0	1	1
34	0	0	89	4	44	3	3	12	0	2	m	3	1	0	1	0	0	1	1	1	1	1	0	0	1	1	0
55	0	17	72	3	36	3	3	2	0	1	f	1	1	0	1	0	0	1	1	1	1	1	1	0	0	1	1
28	0	9	55	3	28	2	4	1	0	1	m	1	0	1	0	0	9	0	0	1	1	1	0	1	0	0	1
21	1	2	20	1	10	1	3	0	0	1	f	7	1	0	0	0	0	1	1	1	1	1	0	1	1	1	1
55	0	8	283	4	77	3	3	11	0	2	f	1	1	0	0	0	0	1	0	1	1	1	0	1	1	0	0
35	0	8	70	3	35	3	3	9	0	2	m	1	0	1	1	0	1	0	0	1	1	1	0	1	0	0	1
45	0	4	48	2	25	2	2	7	0	2	f	1	0	0	0	1	0	1	1	1	1	1	0	0	0	1	1
21	0	1	37	2	18	2	3	0	0	1	m	3	0	1	0	0	0	0	0	1	1	1	0	1	0	1	1
32	0	0	28	2	14	1	1	2	0	1	f	4	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1
42	0	9	109	4	54	3	3	20	0	3	f	1	1	0	0	0	1	0	0	1	1	1	0	1	0	0	1
40	1	12	117	4	60	3	2	19	0	3	f	4	1	0	1	0	0	1	1	1	1	1	0	0	0	1	1
36	0	6	39	2	19	2	2	0	0	1	f	7	0	1	0	0	0	0	0	1	1	1	0	0	0	0	1
42	1	13	53	3	26	2	2	6	0	2	m	5	0	1	1	0	0	0	1	1	1	1	0	1	0	1	1
65	1	17	42	2	21	2	2	24	0	3	m	2	0	1	1	0	0	1	1	1	1	1	0	0	0	1	0
52	1	5	83	4	41	3	1	24	0	3	m	4	0	0	0	1	0	0	1	1	1	1	0	0	0	0	1
51	1	17	148	4	74	3	4	10	0	2	m	3	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1
44	1	1	29	2	14	1	2	5	0	2	m	2	1	0	0	0	0	1	0	1	1	1	0	0	0	0	1
26	0	6	28	2	14	1	4	1	0	1	f	1	1	1	0	0	1	0	0	1	1	1	0	1	0	1	1
41	1	19	70	3	35	3	2	17	0	3	f	3	1	0	1	0	0	0	1	1	1	1	0	1	0	0	0
49	0	11	40	2	20	2	1	8	0	2	m	4	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1
64	0	36	102	4	49	3	3	22	1	3	f	1	1	1	1	1	0	1	0	1	1	1	0	0	0	0	1
39	0	8	60	3	30	3	4	11	0	2	m	2	0	0	1	0	1	1	0	1	1	1	1	1	1	1	1
53	0	8	78	4	38	3	2	17	0	3	m	1	0	0	0	0	0	0	1	1	1	1	0	0	0	1	1
38	1	17	43	2	21	2	3	11	0	2	f	3	1	1	1	1	1	0	0	1	1	1	0	0	1	0	1
46	1	6	31	2	16	2	1	15	0	3	f	2	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1
58	0	2	60	3	29	2	4	1	0	1	m	1	0	1	0	0	0	0	0	1	1	1	0	1	0	0	1
25	0	0	58	3	29	2	3	4	0	1	f	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
57	0	28	92	4	47	3	2	25	0	3	f	3	0	0	0	0	0	1	1	1	1	1	0	1	0	0	1
47	0	21	48	2	24	2	1	23	0	3	m	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1
21	0	0	13	1	6	1	3	0	0	1	f	5	0	0	0	0	0	0	1	1	1	1	0	0	0	1	1
45	1	21	67	3	34	3	1	20	0	3	f	2	1	0	1	0	0	1	1	1	1	1	0	0	1	0	1
56	0	7	213	4	71	3	4	30	0	3	f	1	1	0	1	0	0	1	1	1	1	1	1	1	0	1	1
24	0	2	19	1	10	1	2	0	0	1	m	1	0	0	0	0	0	1	1	1	1	1	0	0	1	0	0
41	0	13	59	3	29	2	3	17	0	3	m	1	1	0	0	0	1	1	1	1	1	1	0	0	0	1	1
22	0	0	45	2	21	2	4	0	0	1	f	3	0	0	0	0	0	0	0	1	1	1	0	1	0	1	1
54	1	9	35	2	18	2	2	7	0	2	m	2	1	1	1	1	1	1	0	1	1	1	1	0	0	0	1
49	0	0	94	4	48	3	2	17	0	3	f	3	1	1	0	0	0	0	0	1	1	1	1	0	0	1	1
49	0	12	35	2	17	2	1	4	0	1	m	1	0	0	0	0	0	1	0	1	1	1	0	0	0	1	1
51	0	0	47	2	23	2	5	3	0	1	f	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	0
58	1	10	873	4	74	3	2	34	0	3	f	2	1	0	0	0	0	1	1	1	1	1	0	0	0	1	1
30	0	10	41	2	20	2	4	4	0	1	m	1	0	1	0	0	1	1	1	1	1	1	0	1	0	0	1
48	0	22	109	4	55	3	4	8	0	2	m	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1
36	0	17	86	4	42	3	4	12	0	2	f	1	1	0	1	0	0	0	1	1	1	1	0	0	0	1	1
33	0	1	37	2	18	2	2	3	0	1	f	1	1	0	0	0	0	1	1	1	1	1	0	1	0	1	1
51	0	5	30	2	15	1	2	6	0	2	f	1	0	0	1	0	0	0	1	1	0	1	0	1	0	1	1
45	1	0	38	2	19	2	4	4	0	1	f	4	0	0	1	0	1	0	0	1	1	1	0	1	0	1	1
56	1	12	50	3	25	2	1	11	0	2	f	2	0	0	1	0	0	1	1	1	1	1	0	0	0	0	1
48	1	7	41	2	20	2	2	15	0	3	m	4	0	1	1	0	0	0	1	1	1	1	0	1	0	0	0
53	0	10	52	3	26	2	2	8	0	2	f	1	0	0	1	0	0	0	1	1	1	1	0	0	0	0	1
28	0	9	28	2	14	1	2	6	0	2	m	1	0	0	0	0	0	1	1	1	1	1	0	0	0	1	1
23	1	1	15	1	7	1	2	2	0	1	m	4	0	1	0	0	0	0	0	1	1	0	0	0	0	1	1
67	1	6	44	2	22	2	3	2	0	1	f	2	1	0	0	0	0	1	1	1	0	1	0	1	0	1	1
68	1	41	25	2	12	1	2	10	1	2	m	2	0	1	1	1	0	0	0	1	1	1	0	0	0	0	1
56	1	5	46	2	24	2	2	9	0	2	m	3	1	1	1	0	0	1	0	1	1	1	0	0	0	0	0
43	1	8	109	4	54	3	2	20	0	3	f	2	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1
28	0	7	24	1	12	1	3	2	0	1	m	1	1	0	1	0	1	0	1	1	1	1	0	1	0	1	1
39	0	6	57	3	28	2	3	12	0	2	f	1	1	1	1	0	0	1	0	1	1	1	1	1	0	1	1
37	0	16	24	1	12	1	3	7	0	2	m	1	1	0	0	0	1	0	0	1	1	1	0	1	0	1	1
32	1	3	30	2	15	1	3	7	0	2	f	2	1	0	0	0	1	1	0	1	1	1	0	0	0	0	1
55	0	29	65	3	33	3	4	10	0	2	f	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1
44	1	15	60	3	31	3	3	14	0	2	f	2	1	1	0	0	1	1	1	1	1	1	1	0	0	0	1
48	0	28	321	4	78	3	5	11	0	2	m	1	1	1	1	0	1	1	0	1	1	1	0	1	1	0	1
36	0	8	51	3	25	2	3	3	0	1	m	1	0	0	0	0	1	1	0	1	1	1	0	1	0	1	1
28	1	1	67	3	33	3	1	7	0	2	f	6	0	1	1	0	1	1	0	1	1	1	0	0	0	0	1
38	1	12	50	3	26	2	3	9	0	2	m	6	0	0	1	0	0	0	0	1	1	1	0	0	0	0	1
30	1	0	20	1	10	1	3	3	0	1	f	4	1	0	1	0	0	1	0	1	1	1	0	0	0	1	1
19	1	0	13	1	7	1	2	0	0	1	f	3	0	0	0	0	0	0	0	1	0	1	0	1	0	1	1
39	0	2	43	2	21	2	4	8	0	2	m	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1
51	0	10	75	4	38	3	4	6	0	2	f	1	0	0	1	0	0	1	1	1	1	1	0	0	0	1	1
41	0	20	248	4	72	3	4	6	0	2	f	1	1	1	0	1	1	1	1	1	1	1	0	1	0	0	1
38	0	7	42	2	21	2	2	3	0	1	m	1	0	0	0	0	0	0	1	1	1	1	0	0	0	1	1
56	1	34	376	4	76	3	1	35	0	3	f	2	0	0	0	0	0	0	1	1	1	1	0	0	1	1	1
54	0	1	28	2	14	1	3	1	0	1	m	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1
46	1	0	23	1	12	1	3	1	0	1	f	5	1	0	1	0	0	1	1	1	1	1	0	1	1	1	1
40	0	11	34	2	17	2	1	14	0	2	f	1	0	1	1	1	0	0	1	1	1	1	0	0	0	0	1
30	0	4	23	1	12	1	4	3	0	1	f	1	0	0	0	0	1	0	0	1	1	1	0	0	0	1	1
29	0	2	25	2	12	1	2	10	0	2	m	3	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1
30	0	10	27	2	13	1	1	3	0	1	f	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1
53	0	8	168	4	87	3	3	24	0	3	m	1	0	0	1	1	1	1	1	1	1	1	0	1	0	1	0
51	1	24	140	4	70	3	1	32	0	3	m	2	1	0	1	1	0	1	1	1	1	1	0	0	0	0	0
40	1	15	57	3	28	2	4	12	0	2	m	2	1	1	0	0	1	0	0	1	1	1	0	1	0	1	1
66	1	34	30	2	15	2	1	4	0	1	f	4	0	1	1	1	0	0	1	1	1	1	0	0	0	1	1
61	1	18	23	1	12	1	2	27	1	3	m	2	0	1	0	0	0	1	0	1	1	1	0	0	0	0	0
61	0	6	64	3	33	3	3	25	0	3	f	1	0	1	0	0	1	0	1	1	1	1	1	1	1	1	1
23	0	0	19	1	10	1	4	0	0	1	m	1	0	1	0	0	0	0	0	1	1	1	1	1	0	0	0
51	1	26	86	4	44	3	3	10	0	2	m	3	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1
47	1	1	28	2	14	1	3	8	0	2	m	8	1	1	1	0	1	1	1	1	1	1	0	1	1	0	1
59	1	18	209	4	75	3	2	22	0	3	f	2	1	1	0	1	0	1	1	1	1	1	1	0	0	0	0
25	1	5	27	2	13	1	2	2	0	1	f	3	0	0	0	0	0	0	1	1	1	1	0	0	0	1	1
63	0	31	478	4	72	3	1	45	0	3	m	2	0	0	1	0	0	0	0	1	1	1	0	0	0	0	1
41	1	8	49	2	24	2	4	14	0	2	f	6	1	1	0	0	8	1	1	1	1	1	0	0	0	1	1
63	1	10	246	4	65	3	4	28	0	3	m	3	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1
41	1	3	27	2	14	1	2	4	0	1	f	4	0	1	0	0	0	0	0	1	1	1	0	0	0	1	1
47	1	16	64	3	33	3	3	23	0	3	f	2	1	0	1	0	1	1	0	1	1	1	1	1	1	0	1
42	1	9	49	2	24	2	1	12	0	2	f	2	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1
35	1	5	49	2	25	2	4	9	0	2	f	2	1	0	0	0	0	0	1	1	1	1	0	1	0	1	1
24	0	2	23	1	12	1	4	1	0	1	m	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1
22	0	3	23	1	12	1	4	0	0	1	f	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1
32	1	12	59	3	29	2	5	5	0	2	m	4	1	1	0	0	1	1	1	1	1	1	0	1	1	0	1
50	1	20	58	3	30	2	1	8	0	2	m	2	0	1	0	0	1	0	0	1	1	1	0	1	0	1	1
44	1	8	46	2	23	2	1	18	0	3	m	2	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1
32	1	12	31	2	15	2	4	1	0	1	m	2	1	1	1	1	8	1	1	0	1	1	0	1	0	1	1
65	0	43	40	2	20	2	1	10	0	2	f	1	0	0	1	0	0	1	0	1	1	1	0	0	0	0	1
